Column1;energy;valence;spotify_id;name;artists;duration
98980;0.562;0.361;1Wuv7eOjQfD80D23i9qAN5;知足;Mayday;313253.0
98983;0.161;0.337;1EWROLadDTXTFuC6N6XqH4;一首簡單的歌;Leehom Wang;272053.0
98986;0.232;0.364;6oilrypHWm0iylwgX6ujQc;知足;Mayday;256627.0
98987;0.759;0.293;5ofoB8PFmocBXFBEWVb6Vz;Animals;Architects;244365.0
98989;0.845;0.186;49xSyefVOCGOvII7zGfAn1;Hallelujah;Underoath;181067.0
98991;0.982;0.3;2JIbpxyklwMF01YPqJG7uq;Pushing the Tides;Mastodon;209932.0
98997;0.93;0.344;1s4Ie0cT6P73SRSfh3oyGW;The Number Of The Beast - 1998 Remastered Version;Iron Maiden;291373.0
98999;0.996;0.094;3CBoWhq9cd7WGQZ9EDQVnn;Under and Over It;Five Finger Death Punch;218133.0
99000;0.934;0.698;0dzMcLqdF9NnNT3CgXJ5XG;Dying in Your Arms;Trivium;173000.0
99003;0.874;0.261;6ursmCnbc9oDRGa2yHKkoZ;Roots Bloody Roots;Sepultura;212253.0
99007;0.637;0.422;6JqxWJYcxbePmG7nQFVb79;Livin' Thing;Electric Light Orchestra;212533.0
99015;0.953;0.291;1mdYwH2ZMi3eMfWmeQJj4D;Is There Anybody out There?;Machine Head;272666.0
99016;0.995;0.0394;2QcHIZFd5Meeroa1HB1L90;My Own Grave;As I Lay Dying;253318.0
99017;0.8;0.398;11FvComd16zZX61DrlP3o1;Do Your Worst;Rival Sons;210851.0
99020;0.938;0.333;6GHLfczafUvxMdJrnfdz1l;True Friends;Bring Me The Horizon;232320.0
99021;0.705;0.601;6uddSq7cjGlJ7aKuNdpuFd;I Knew You Were Trouble;We Came As Romans;218554.0
99025;0.978;0.483;7EzTy7p26h3hwZU6psDXdO;MC Thunder;Eskimo Callboy;230867.0
99026;0.964;0.116;1vLV1ZSDwfpGKH1qown9wl;Careful What You Wish For;Bad Omens;272800.0
99028;0.967;0.207;37PW0wi3E0gquMdluiYz47;Where Did It Go?;Asking Alexandria;193892.0
99031;0.968;0.149;5ICgWeazjMYzNo5WTgMdNp;Hollow Bodies;blessthefall;257867.0
99034;0.964;0.325;6aPDAyrtj011Mzjg9NK0tT;Prey;Parkway Drive;255231.0
99045;0.981;0.351;56LbBPU6EfIGKqSIpWNrTw;Into The Fire;Asking Alexandria;237820.0
99048;0.931;0.233;7ln7o4q6y9h8qEc6hGrtr1;Tears Don't Fall;Bullet For My Valentine;348387.0
99077;0.969;0.273;2NYlvB3IyqGXmX3jExxsPL;LOUD (feat. Jason Aalon from FEVER 333);Sullivan King,Jason Aalon Butler;208000.0
99105;0.533;0.269;7sl0onMn1Nvla23M32r91s;Feiern;Solee;416442.0
99113;0.691;0.383;5EEhXlG2oUjNEycxDEsdk0;Redemption;Boris Brejcha;533760.0
99117;0.471;0.277;4nvLuqwTOZdEJI1fcHXv8h;You're All I Want;Cigarettes After Sex;264453.0
99124;0.479;0.682;7eafuv44YprITfOdzfVLoU;"Hungry Eyes - From ""Dirty Dancing"" Soundtrack";Eric Carmen;248427.0
99125;0.462;0.263;6MV9CNu8TCE2281ltK3rh0;Tiny Dancer;Elton John;373893.0
99126;0.673;0.596;1zdGSzFBBjrFBKftLesPeH;"Love Is All Around - From ""Four Weddings and a Funeral"" Original Motion Picture Soundtrack";Wet Wet Wet;237958.0
99128;0.652;0.722;1JZZkORheU1RpGqJdZ77WL;"It Must Have Been Love - From the Film ""Pretty Woman""";Roxette;258787.0
99129;0.487;0.811;24IavnnaGG2AGYMdAwmVdn;Son Of A Preacher Man;Dusty Springfield;144027.0
99130;0.326;0.297;2ACjOtICHXrAlP3ijVMSvb;Unchained Melody;The Righteous Brothers;215853.0
99132;0.983;0.625;21zrjVB9JVpdSpG8unduMo;Bad Boy;Cascada;191840.0
99136;0.95;0.829;23K2pVDTXadG5Rc8H8l0e9;Smooth Criminal;Alien Ant Farm;210067.0
99139;0.895;0.963;51T1wGHtx6hXW89UCzw1Rc;Pretty Fly (For A White Guy);The Offspring;188667.0
99141;0.659;0.075;6Gn02ZC8juXwQ10Xk7ACXx;The Reason;Hoobastank;232800.0
99142;0.919;0.537;5OQsiBsky2k2kDKy2bX2eT;Learn to Fly;Foo Fighters;235293.0
99147;0.632;0.459;4pG8lbKPKkfGSniMXxZTM7;Sutilmente;Skank;242507.0
99150;0.722;0.638;6yRZVpexcjsCcuIDsfthHR;Coração Bobo - Ao Vivo;Alceu Valença,Zé Ramalho;244333.0
99151;0.856;0.693;0yDvCGnKcBuv0ltINV0nuu;Infinita Highway - Ao Vivo;Engenheiros Do Hawaii;258587.0
99152;0.351;0.593;6bmdS45trR3N3xYoydgcvH;Duas da Tarde;Silva;221625.0
